WKT,name,description
"POINT (17.087395283079196 42.98847500116018)","Peljesac Coastline","https://sunpixel.photography/peljesac-coastline/
Mountains rising right from the sea. This breathtaking scenery can be experienced from the south-western part of Peljesac peninsula."

"POINT (17.154884900863195 42.96159392372345)","Old Town Korcula From The Sea","https://sunpixel.photography/korcula-from-the-sea/
Old Town Korcula is a true gem of the Adriatic. Supposedly it is a birthplace of Marco Polo. And this is how you can see it from the ferry to Orebic (with some zoom lens)."

"POINT (17.076671498578484 43.23588508981707)","Mermaid Statue In Podgora","https://sunpixel.photography/mermaid-statue-podgora/
Statue of a Mermaid is one of two typical monuments - the second one is The Wings of a Seagull - in a small Dalmatian town of Podgora."

"POINT (19.03898739879983 47.497189257864875)","Chain Bridge in Budapest","https://sunpixel.photography/chain-bridge-budapest/
Night shot of iconic Széchenyi Chain Bridge in Budapest with St. Stephen Basilica in the background."

"POINT (19.034704550818535 47.502742812071226)","Hungarian Parliament","https://sunpixel.photography/hungarian-parliament-building-budapest/
Late evening shot of iconic Hungarian Parliament Building in Budapest."

"POINT (16.596294445735804 43.184008296692184)","Stone Houses in Stari Grad","https://sunpixel.photography/stone-houses-stari-grad/
Typical Croatian stone houses in the town of Stari Grad on island Hvar - a place where mediterranean architecture joins beautiful nature."

"POINT (4.297213522812623 52.086991228265255)","Peace Palace In Hague","https://sunpixel.photography/peace-palace-hague/
The Peace Palace (Vredespaleis) in Den Haag is a renaissance building that houses international law courts. Still, you can visit it as a tourist."

"POINT (15.779348279697317 44.48045414921732)","Fog Curtains in Early Morning","https://sunpixel.photography/early-morning-ondic/
Landscape slowly waking up while morning fog still covers the land and doesn't want to give up."

"POINT (16.20372883466243 43.51101410411881)","Dusk Over Small Church Tower","https://sunpixel.photography/church-at-dusk-trogir/
Even when day is fading out, nature still can show up with so many beautiful colours."

"POINT (0 0)","Dawn Somewhere On The Road","https://sunpixel.photography/dawn-somewhere-on-the-road/
Driving long distances during the night isn't particularly exciting, but seeing dawn like this is awarding. Happened somewhere in Hungary."

"POINT (20.461147189378533 48.949371024072065)","High Tatras In Slovakia","https://sunpixel.photography/high-tatras-slovakia/
High Tatras are often called the smallest alpine mountains in the World having 29 majestic peaks over 2,500 metres (8,200 ft) touching to the sky."

"POINT (16.49730791927724 43.18836278494599)","Abandoned Lavender Field","https://sunpixel.photography/lavender-field-hvar/
Island Hvar is famous for its epic lavender fields. Even after the harvest you can still find some blooming fields full of purple beauty."

"POINT (13.832422082684667 44.83492283655426)","Butterfly","https://sunpixel.photography/butterfly/
You wouldn't probably expect seeing this in a marine aquarium. But if you are lucky, many of these flying guys can be found in outdoor exposition of Pula Aquarium in Fort Verudela."

"POINT (4.549646392171735 52.26853349668268)","Daffodils In Keukenhof","https://sunpixel.photography/daffodils-in-keukenhof/
Netherlands isn't about tulips only. In the largest garden in the world you can see daffodils of all shapes and sizes."

"POINT (4.547070819204187 52.270742778710414)","Dark Tulip","https://sunpixel.photography/dark-tulip/
For nature, every colour is possible. This dark purple tulip stands out among yellow ones."

"POINT (4.549646392171735 52.26853349668268)","Tulips In Keukenhof","https://sunpixel.photography/tulips-in-keukenhof/
Tulips are everywhere! If Holland is a country of tulips, Keukenhof is its capital city."

"POINT (4.549646392171735 52.26853349668268)","Tulips In Keukenhof vol.2","https://sunpixel.photography/tulips-in-keukenhof-2/
More tulips everywhere. There are about 7 million tulips of 800 different kinds in Keukenhof. A must see."

